district,area_thousand_sq_km,area_sq_km,census_2019_thousand,population_2025_thousand,population_2025,density_per_sq_km,source_url
Baku,2.1,2100.0,2330.4,2356.2,2356200.0,1121.9999999999998,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Binagadi,0.13,130.0,304.3,309.2,309200.0,2378.461538461538,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Khatai,0.03,30.0,271.0,277.8,277800.0,9260.0,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Khazar,0.37,370.0,202.5,206.6,206600.0,558.3783783783783,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Garadagh,1.08,1080.0,112.7,118.4,118400.0,109.62962962962963,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Narimanov,0.02,20.0,178.6,181.5,181500.0,9075.0,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Nasimi,0.01,10.0,217.4,219.7,219700.0,21970.0,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Nizami,0.02,20.0,182.9,186.2,186200.0,9310.0,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Pirallahi,0.03,30.0,18.5,18.8,18800.0,626.6666666666667,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Sabunchu,0.24,240.0,345.4,331.8,331800.0,1382.5,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Sabail,0.03,30.0,100.8,102.1,102100.0,3403.3333333333335,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Surakhani,0.12,120.0,204.8,209.4,209400.0,1745.0,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
Yasamal,0.02,20.0,191.5,194.7,194700.0,9735.0,https://www.stat.gov.az/source/demoqraphy/en/001_15en.xls
