store_name,store_format,address,latitude,longitude,nearest_bravo_km,nearest_bravo_name,bravo_count_within_1km,bravo_count_within_2km
Bravo Hovsan,Express,"Hovsan settlement, Ilgar Ahlimanov street 159D",40.360592,50.078354,9.2003,Bravo Yeni Guneshli,0,0
Bravo Lokbatan,Super,"Lokbatan settlement, 28 May street",40.322475,49.732838,7.2958,Bravo 20th area,0,0
Bravo Mardakan highway,Super,Mardakan highway,40.462429,50.082314,5.1656,Bravo Gala Highway,0,0
Bravo Amburan Mall,Market,"Bilgah settlement, Amburan Mall 1st floor",40.588303,50.058319,4.8043,Bravo Bilgah,0,0
Bravo Gala Highway,Market,"Gala settlement, territory of No. 3 Olive farm",40.456032,50.142788,3.9316,Bravo Shuvalan,0,0
Bravo Bilgah,Market,"Nardaran settlement, ""Azerbaijan Qadini"" street",40.554775,50.022442,3.6817,Bravo Mashtagha,0,0
Bravo Mashtagha,Express,"Mashtagha settlement, Nizami street 97",40.53167,49.991234,3.6817,Bravo Bilgah,0,0
Bravo Buzovna,Express,"Mardakan settlement, Buzovna-Mardakan road",40.511261,50.140347,3.5566,Bravo Shuvalan,0,0
Bravo Baghcali sheher residence,Market,"Sumgait city, Sulh avenue 20B",40.574696,49.643204,3.5116,Bravo Sumgait Railway st.,0,0
Bravo 20th area,Super,Shahlar Allahverdiyev street 6B,40.329807,49.818363,2.3963,Bravo Park Bayil residence,0,0
Bravo Binagadi highway,Market,"Binagadi settlement, Binagadi highway, 1st street",40.44939,49.843666,2.2775,Bravo Binagadi,0,0
Bravo 8 November av.,Super,8 November avenue 102B,40.373058,49.926048,1.5853,Bravo Ahmedli,0,2
Bravo Bakikhanov Mall,Market,"Bakikhanov settlement, Yaver Aliyev street 132",40.432003,49.954494,1.5839,Bravo Sabunchu,0,2
Bravo Sumgait,Super,Uzeyir Hadjibeyov street 2,40.573364,49.691227,1.5215,Bravo Sumgait Railway st.,0,1
Bravo Sumgait Railway st.,Express,Sumgait Railway station,40.56197,49.681252,1.5215,Bravo Sumgait,0,1
Bravo A. Abbaszade str.,Express,"Badamdar settlement, Abbasgulu Abbaszade street 59 A",40.355026,49.816319,1.4735,Bravo Sabah residence,0,4
Bravo Yeni Guneshli,Super,İlgar Musayev street,40.386593,49.97525,1.3668,Bravo S.A.Shirvani st.,0,4
Bravo Şüvəlan,Express,"Bakı, Xəzər rayonu, Almas İldırım 120",40.48621,50.19828,1.2293,Bravo Shuvalan Park,0,2
Bravo Koroghlu m/s,Hiper,Heydar Aliyev avenue 172,40.418194,49.913635,1.2018,Bravo Uzbekistan st.,0,3
Bravo- City Park Mall,Market,"White City, intersection of Babek Avenue and Suleyman Vezirov Street",40.38916,49.890148,1.0682,Bravo White City residence,0,5
