cell_id,district,reverse_geocode_name,centre_latitude,centre_longitude,source
3,Sabail,"Səbail rayonu, Azərbaycan",40.30660543702225,49.78203419264534,OpenStreetMap via Nominatim reverse geocoding
0,Sabail,"Səbail rayonu, Azərbaycan",40.306480960898206,49.77026896196969,OpenStreetMap via Nominatim reverse geocoding
4,Sabail,"Səbail rayonu, Azərbaycan",40.31561271398141,49.78187234728604,OpenStreetMap via Nominatim reverse geocoding
8,Sabail,"Səbail rayonu, Azərbaycan",40.30672871700511,49.79379949629545,OpenStreetMap via Nominatim reverse geocoding
7,Garadagh,"Qaradağ rayonu, Azərbaycan",40.34263445720365,49.78138637299132,OpenStreetMap via Nominatim reverse geocoding
1,Garadagh,"Qaradağ rayonu, Azərbaycan",40.31548819844333,49.77010555418256,OpenStreetMap via Nominatim reverse geocoding
5,Garadagh,"Qaradağ rayonu, Azərbaycan",40.32461997633202,49.78171042891529,OpenStreetMap via Nominatim reverse geocoding
2,Garadagh,"Qaradağ rayonu, Azərbaycan",40.32449542136959,49.76994207267951,OpenStreetMap via Nominatim reverse geocoding
6,Garadagh,"Qaradağ rayonu, Azərbaycan",40.33362722407312,49.78154843749607,OpenStreetMap via Nominatim reverse geocoding
93,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.43377717663698,49.88584944234769,OpenStreetMap via Nominatim reverse geocoding
17,Sabail,"Səbail rayonu, Azərbaycan",40.3068508008252,49.80556487221588,OpenStreetMap via Nominatim reverse geocoding
163,Surakhani,"Suraxanı rayonu, Azərbaycan",40.36268876036832,49.99301694145311,OpenStreetMap via Nominatim reverse geocoding
9,Sabail,"Səbail rayonu, Azərbaycan",40.31573603299968,49.79363921340098,OpenStreetMap via Nominatim reverse geocoding
30,Sabail,"Səbail rayonu, Azərbaycan",40.30697168846114,49.81733031970247,OpenStreetMap via Nominatim reverse geocoding
12,Sabail,"Səbail rayonu, Azərbaycan",40.34275789338967,49.793157930729095,OpenStreetMap via Nominatim reverse geocoding
162,Sabunchu,"Sabunçu rayonu, Azərbaycan",40.41663221955318,49.9804263250569,OpenStreetMap via Nominatim reverse geocoding
154,Khatai,"Xətai rayonu, Azərbaycan",40.34456997412253,49.98151222338946,OpenStreetMap via Nominatim reverse geocoding
164,Surakhani,"Suraxanı rayonu, Azərbaycan",40.37169659537893,49.99288286335539,OpenStreetMap via Nominatim reverse geocoding
100,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.433890190041375,49.89763731428295,OpenStreetMap via Nominatim reverse geocoding
10,Sabail,"Səbail rayonu, Azərbaycan",40.32474333439597,49.79347885819954,OpenStreetMap via Nominatim reverse geocoding
11,Sabail,"Səbail rayonu, Azərbaycan",40.333750621192976,49.79331843065448,OpenStreetMap via Nominatim reverse geocoding
86,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.4336629615939,49.87406163752402,OpenStreetMap via Nominatim reverse geocoding
161,Surakhani,"Suraxanı rayonu, Azərbaycan",40.40762448946752,49.98056227682827,OpenStreetMap via Nominatim reverse geocoding
166,Surakhani,"Suraxanı rayonu, Azərbaycan",40.398720013738426,49.99248026587544,OpenStreetMap via Nominatim reverse geocoding
92,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.424769750823415,49.88599809359029,OpenStreetMap via Nominatim reverse geocoding
55,Sabail,"Səbail 2 siəd, Səbail rayonu, Azərbaycan",40.32522479723794,49.84055329172397,OpenStreetMap via Nominatim reverse geocoding
104,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.39797192698504,49.91000688786442,OpenStreetMap via Nominatim reverse geocoding
18,Sabail,"Səbail rayonu, Azərbaycan",40.31585815547658,49.80540615182287,OpenStreetMap via Nominatim reverse geocoding
116,Sabunchu,"Sabunçu rayonu, Azərbaycan",40.43411261185503,49.92121325665068,OpenStreetMap via Nominatim reverse geocoding
97,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.4068677617873,49.89807835302596,OpenStreetMap via Nominatim reverse geocoding
111,Khatai,"Xətai rayonu, Azərbaycan",40.389074807220055,49.9219322836201,OpenStreetMap via Nominatim reverse geocoding
108,Sabunchu,"Sabunçu rayonu, Azərbaycan",40.43400200178726,49.909425252620416,OpenStreetMap via Nominatim reverse geocoding
44,Sabail,"Səbail rayonu, Azərbaycan",40.31609881072091,49.82894024276947,OpenStreetMap via Nominatim reverse geocoding
155,Surakhani,"Suraxanı rayonu, Azərbaycan",40.35357780538816,49.98137670035997,OpenStreetMap via Nominatim reverse geocoding
157,Surakhani,"Suraxanı rayonu, Azərbaycan",40.37159342456385,49.98110547080318,OpenStreetMap via Nominatim reverse geocoding
156,Surakhani,"Suraxanı rayonu, Azərbaycan",40.36258562220223,49.98124111617489,OpenStreetMap via Nominatim reverse geocoding
119,Khatai,"Xətai rayonu, Azərbaycan",40.38918404263408,49.93371249936501,OpenStreetMap via Nominatim reverse geocoding
103,Khatai,"Xətai rayonu, Azərbaycan",40.3889643720076,49.91015213269364,OpenStreetMap via Nominatim reverse geocoding
144,Khatai,"Xətai rayonu, Azərbaycan",40.34446570323345,49.969739591664045,OpenStreetMap via Nominatim reverse geocoding
21,Sabail,"Səbail rayonu, Azərbaycan",40.34288013189788,49.80492956088391,OpenStreetMap via Nominatim reverse geocoding
112,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.39808239715013,49.92178860799493,OpenStreetMap via Nominatim reverse geocoding
165,Surakhani,"Suraxanı rayonu, Azərbaycan",40.38070441594476,49.99274872474703,OpenStreetMap via Nominatim reverse geocoding
133,Khatai,"Xətai rayonu, Azərbaycan",40.34436023436741,49.95796702176917,OpenStreetMap via Nominatim reverse geocoding
102,Khatai,"Xətai rayonu, Azərbaycan",40.37995680252131,49.91029731199678,OpenStreetMap via Nominatim reverse geocoding
31,Sabail,"Səbail rayonu, Azərbaycan",40.31597908139071,49.817173161847215,OpenStreetMap via Nominatim reverse geocoding
