store_name,store_format,address,opening_hours,latitude,longitude,in_baku_study_bbox,google_maps_url,source_url,collected_at_utc
Bravo Ahmedli,Hiper,Ramiz Guliyev street 4,24/7,40.375065,49.944576,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.375065,49.944576&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Koroghlu m/s,Hiper,Heydar Aliyev avenue 172,24/7,40.418194,49.913635,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.418194,49.913635&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo 20 January m/s,Hiper,Tbilisi avenue 3007,24/7,40.401619,49.811024,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.401619,49.811024&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Ganclik Mall,Super,Fatali Khan Khoyski pr. 14,9:00 - 23:00,40.400177,49.852364,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.400177,49.852364&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Khatai m/s,Hiper,Babek avenue,24/7,40.387726,49.874157,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.387726,49.874157&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo 28 Mall,Super,Azadlig avenue 15A,09:00 - 23:00,40.379128,49.846539,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379128,49.846539&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Asad Ahmadov st.,Super,Asad Ahmedov street (Yeni Yasamal settlement),24/7,40.393997,49.795109,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393997,49.795109&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Shamkir,Super,Baku - Qazakh way 406th km,07:00 - 02:00,40.853363,46.031227,False,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.853363,46.031227&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo 8 November av.,Super,8 November avenue 102B,07:00 - 02:00,40.373058,49.926048,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373058,49.926048&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Mardakan highway,Super,Mardakan highway,24/7,40.462429,50.082314,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.462429,50.082314&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Yeni Guneshli,Super,İlgar Musayev street,07:00 - 02:00,40.386593,49.97525,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.386593,49.97525&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Ramiz Qambarov st.,Super,"Bakikhanov settlement, Ramiz Qambarov street 2566",08:00 - 02:00,40.412334,49.954147,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412334,49.954147&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sumgait,Super,Uzeyir Hadjibeyov street 2,08:00 - 02:00,40.573364,49.691227,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.573364,49.691227&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Shovkat Mammadova st.,Super,Shovkat Mammadova street 2,24/7,40.419731,49.846649,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.419731,49.846649&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo 20th area,Super,Shahlar Allahverdiyev street 6B,24/7,40.329807,49.818363,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.329807,49.818363&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Lokbatan,Super,"Lokbatan settlement, 28 May street",24/7,40.322475,49.732838,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.322475,49.732838&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Mirasadulla Mirgasimov st.,Market,Mirasadulla Mirgasimov street,07:00 - 23:00,40.395706,49.840885,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.395706,49.840885&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Ganja Mall,Market,"Heydar Aliyev avenue 433, Ganja Mall 1st floor",09:00 - 23:00,40.677006,46.35989,False,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.677006,46.35989&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Shuvalan,Super,"Shuvalan settlement, near Police Academy",,40.486343,50.166718,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.486343,50.166718&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Khirdalan,Super,Heydar Aliyev avenue,07:00 - 02:00,40.450523,49.744705,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.450523,49.744705&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Park Azure residence,Super,Afiaddin Jalilov street 27A,07:00 - 02:00,40.379177,49.875526,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379177,49.875526&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Globus Center,Super,Jafar Jabbarli street 609,07:00 - 01:00,40.385128,49.828129,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385128,49.828129&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
